genre,artist_name,track_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,item_id
Alternative,Seether,Fake It,71,0.00131,0.615,193893,0.949,3.04e-06,G#,0.0585,-3.52,Major,0.0549,131.985,4/4,0.586,223
Alternative,Chevelle,The Red,66,0.000671,0.509,238400,0.843,0.000803,C#,0.348,-3.318,Minor,0.0488,140.055,3/4,0.332,146
Alternative,Red Hot Chili Peppers,Dani California,73,0.017,0.553,283000,0.865,1.05e-05,A,0.267,-4.751,Minor,0.0409,96.161,4/4,0.735,294
Alternative,The Goo Goo Dolls,Iris,75,0.00125,0.315,289533,0.715,7.97e-06,B,0.0942,-8.072,Minor,0.0362,155.925,3/4,0.497,311
Alternative,Alina Baraz,Floating (feat. Khalid),69,0.81,0.66,174490,0.447,2.15e-06,C#,0.11,-9.026,Minor,0.0482,84.95,4/4,0.578,221
Alternative,Weezer,Say It Ain't So,70,0.00717,0.624,258827,0.517,1.4e-05,D#,0.0687,-7.122,Major,0.0322,151.695,4/4,0.42,202
Alternative,6LACK,PRBLMS,71,0.0307,0.417,246773,0.58,1.45e-06,A,0.179,-4.574,Major,0.207,68.58,5/4,0.139,245
Alternative,Theory of a Deadman,Rx (Medicate),68,0.0133,0.639,233173,0.71,0.0,C#,0.118,-7.445,Major,0.0275,119.989,4/4,0.378,116
Alternative,Puddle Of Mudd,Blurry,63,0.01,0.44,304000,0.929,0.0,D#,0.142,-4.494,Minor,0.0525,157.49,4/4,0.495,113
Alternative,The 1975,It's Not Living (If It's Not With You),71,0.000297,0.618,248336,0.824,6.87e-05,C#,0.0649,-5.316,Major,0.0301,121.238,4/4,0.598,279
Alternative,Kiana Ledé,Bouncin (feat. Offset),69,0.15,0.942,172493,0.557,2.97e-05,G#,0.103,-8.433,Major,0.307,100.986,4/4,0.77,134
Alternative,Summer Walker,Girls Need Love,69,0.558,0.645,140760,0.418,0.0003,F#,0.562,-10.065,Minor,0.29,96.963,4/4,0.123,293
Alternative,The Smashing Pumpkins,Bullet With Butterfly Wings - Remastered 2012,69,5.59e-05,0.404,258467,0.72,0.836,A#,0.0466,-9.18,Minor,0.0626,121.649,4/4,0.475,128
Alternative,Three Days Grace,Animal I Have Become,69,0.000684,0.553,231400,0.853,0.0,G#,0.126,-3.668,Major,0.0339,122.023,4/4,0.506,189
Alternative,Joji,WANTED U,66,0.105,0.305,251015,0.715,0.0495,G,0.0906,-7.54,Major,0.0554,82.977,4/4,0.29,250
Alternative,Gorillaz,On Melancholy Hill,71,1.51e-05,0.689,233867,0.739,0.509,D,0.064,-5.81,Major,0.026,120.423,4/4,0.578,273
Alternative,Two Door Cinema Club,What You Know,66,0.000715,0.561,191707,0.741,1.4e-05,F#,0.0822,-4.239,Minor,0.0419,139.001,4/4,0.776,153
Alternative,Mazzy Star,Fade Into You,69,0.245,0.42,295600,0.33,0.000679,A,0.0677,-13.925,Major,0.0275,157.143,3/4,0.175,257
Alternative,The Score,Legend,69,0.0136,0.599,189120,0.749,0.000118,D,0.0711,-3.275,Major,0.0279,82.011,4/4,0.488,263
Alternative,Nirvana,Lithium,65,0.00203,0.68,257053,0.65,0.0,G,0.0622,-6.336,Major,0.0378,123.238,4/4,0.486,303
Alternative,Collective Soul,Shine,65,0.294,0.54,306040,0.423,0.0884,F#,0.152,-8.799,Major,0.0283,150.135,4/4,0.353,308
Alternative,Alien Ant Farm,Smooth Criminal,70,0.00434,0.647,209267,0.964,0.0036,A,0.15,-4.225,Minor,0.06,126.942,4/4,0.875,270
Alternative,Alice In Chains,Rooster,65,0.0307,0.269,374333,0.551,0.000619,A#,0.118,-8.456,Minor,0.0274,144.408,3/4,0.202,158
Alternative,Bush,Glycerine,63,0.0371,0.437,266493,0.337,0.000946,F,0.0981,-11.439,Major,0.0326,114.239,4/4,0.0784,127
Alternative,Kiana Ledé,EX,70,0.231,0.763,222387,0.537,0.0,A,0.109,-7.018,Minor,0.246,73.51,4/4,0.426,157
Alternative,The 1975,TOOTIMETOOTIMETOOTIME,69,0.209,0.667,207851,0.798,0.015,G#,0.0972,-5.935,Major,0.0675,114.981,4/4,0.485,180
Alternative,The Wallflowers,One Headlight,69,0.00106,0.701,312587,0.564,0.00277,D,0.0657,-9.039,Major,0.0294,107.533,4/4,0.723,206
Alternative,Joji,Demons,65,0.416,0.464,176804,0.378,0.0917,D,0.0966,-11.354,Minor,0.143,164.486,5/4,0.037,162
Alternative,Cautious Clay,Cold War,65,0.274,0.654,202597,0.47,0.249,C#,0.103,-10.383,Minor,0.0586,77.083,4/4,0.462,256
Alternative,Shoffy,Cool Again,71,0.443,0.774,191935,0.45,3.28e-05,B,0.127,-6.86,Major,0.0896,90.055,4/4,0.648,321
Alternative,Third Eye Blind,Jumper - 1998 Edit,65,0.0129,0.599,272973,0.543,0.00193,C,0.291,-9.226,Major,0.0302,91.105,4/4,0.624,169
Alternative,Frank Ocean,Novacane,67,0.0726,0.764,302347,0.509,0.000603,D#,0.162,-9.208,Major,0.104,93.505,4/4,0.383,258
Alternative,My Darkest Days,Porn Star Dancing,63,0.0199,0.474,199013,0.923,0.0,D,0.0673,-3.405,Major,0.0897,160.035,4/4,0.347,298
Alternative,3 Doors Down,When I'm Gone,66,0.00457,0.496,260507,0.765,0.0,G,0.104,-5.66,Major,0.033,74.072,4/4,0.337,192
Alternative,The Strokes,Last Nite,65,0.0223,0.624,193373,0.899,0.000155,C,0.0975,-5.71,Major,0.0295,104.055,4/4,0.797,126
Alternative,System Of A Down,Aerials,70,0.000918,0.364,235053,0.922,0.035,C,0.0696,-4.217,Minor,0.0566,79.342,4/4,0.227,247
Alternative,Beck,Loser,66,0.0341,0.66,235000,0.627,9.64e-05,F#,0.385,-10.397,Minor,0.124,85.44,4/4,0.789,264
Alternative,Linkin Park,Crawling,70,0.0466,0.58,208960,0.702,3.2e-06,E,0.536,-5.565,Major,0.0337,105.076,4/4,0.299,254
Alternative,Weezer,Beverly Hills,66,0.0932,0.693,196093,0.823,0.0,F,0.328,-3.761,Major,0.0726,87.904,4/4,0.741,125
Alternative,Drowning Pool,Bodies,69,0.00347,0.656,201960,0.932,0.00147,E,0.144,-3.405,Minor,0.0708,130.936,4/4,0.544,102
Alternative,Spin Doctors,Two Princes,69,0.00162,0.543,256733,0.912,2.1e-06,G,0.0565,-10.71,Major,0.0601,103.731,4/4,0.836,231
Alternative,The Score,Unstoppable,67,0.00146,0.469,192107,0.845,3.16e-05,C#,0.148,-3.936,Minor,0.0499,77.99,4/4,0.564,235
Alternative,Incubus,Pardon Me,63,0.00114,0.579,223747,0.812,0.00333,C#,0.115,-6.509,Minor,0.0693,152.002,4/4,0.278,178
Alternative,Shinedown,Sound of Madness,64,4.93e-05,0.328,233987,0.939,0.0065,D,0.337,-1.654,Minor,0.0423,185.971,4/4,0.329,242
Alternative,Jhene Aiko,The Worst,66,0.237,0.524,254493,0.417,1.19e-06,C#,0.139,-9.283,Minor,0.0578,93.59,4/4,0.109,197
Alternative,Sum 41,In Too Deep,71,0.000178,0.577,207093,0.838,1.07e-06,A,0.0588,-5.793,Major,0.0586,116.048,4/4,0.802,249
Alternative,grandson,Apologize,64,0.00121,0.535,198694,0.836,0.0,D,0.102,-5.593,Major,0.0746,85.005,4/4,0.443,317
Alternative,Seether,Remedy,65,0.00018,0.546,207213,0.959,0.00144,G#,0.0584,-4.664,Major,0.082,127.831,4/4,0.416,108
Alternative,The 1975,Chocolate,62,0.00391,0.591,224640,0.94,0.0,B,0.383,-4.341,Major,0.0522,100.043,4/4,0.676,137
Alternative,for KING & COUNTRY,God Only Knows,64,0.395,0.597,229760,0.417,8.35e-06,D,0.128,-7.952,Major,0.0502,143.839,4/4,0.263,305
Alternative,Tierra Whack,Pretty Ugly,62,0.22,0.941,60000,0.656,1.06e-05,C,0.121,-8.178,Major,0.154,109.908,4/4,0.382,112
Alternative,6LACK,Ex Calling,67,0.00561,0.773,211960,0.564,1.99e-05,C#,0.213,-7.241,Major,0.249,155.976,4/4,0.0588,99
Alternative,Slipknot,Psychosocial,68,0.00252,0.576,283400,0.989,0.0032,D,0.0243,-1.909,Major,0.112,135.093,4/4,0.352,224
Alternative,Avenged Sevenfold,Shepherd of Fire,64,0.000332,0.576,323800,0.906,0.0614,D,0.0908,-7.677,Major,0.0571,127.935,4/4,0.211,183
Alternative,Still Woozy,Lava,62,0.304,0.623,157303,0.615,0.00874,C#,0.25,-10.064,Major,0.146,169.137,4/4,0.672,323
Alternative,Two Door Cinema Club,Undercover Martyn,63,0.00025,0.442,167773,0.872,1.74e-05,D,0.0602,-5.072,Major,0.123,159.867,4/4,0.568,272
Alternative,Janelle Monáe,Make Me Feel,67,0.132,0.859,194230,0.413,0.0,C#,0.334,-7.399,Major,0.182,115.035,4/4,0.697,168
Alternative,Linkin Park,BURN IT DOWN,69,0.0143,0.585,230253,0.972,0.0,A,0.0707,-4.45,Minor,0.0534,110.006,4/4,0.585,301
Alternative,Third Eye Blind,How's It Going to Be,64,0.00327,0.562,253413,0.593,0.00139,F,0.0967,-9.362,Major,0.0263,80.289,4/4,0.574,286
Alternative,GoldLink,"U Say (feat. Tyler, The Creator & Jay Prince)",66,0.0673,0.694,200801,0.665,0.000187,D,0.117,-7.626,Major,0.266,115.068,4/4,0.378,304
Alternative,The Black Keys,Walk Across The Water,68,0.329,0.418,235842,0.583,0.769,A,0.238,-7.296,Major,0.0257,79.594,4/4,0.327,318
Alternative,The Neighbourhood,Afraid,65,0.00892,0.464,251187,0.701,0.309,F#,0.335,-5.693,Minor,0.0411,83.996,4/4,0.356,131
Alternative,The Raconteurs,"Steady, As She Goes",67,0.0132,0.524,215267,0.578,0.00921,A,0.108,-4.563,Major,0.12,123.669,4/4,0.537,280
Alternative,Soundgarden,Fell On Black Days,63,0.00165,0.573,283027,0.75,0.000285,E,0.131,-5.718,Minor,0.0272,101.049,3/4,0.544,188
Alternative,Souls Of Mischief,93 'Til Infinity,67,0.125,0.59,286440,0.672,1.04e-06,C#,0.147,-11.792,Major,0.412,206.247,4/4,0.688,290
Alternative,Nickelback,Far Away,66,0.000696,0.518,238173,0.797,0.0,F#,0.107,-5.153,Major,0.0309,132.915,4/4,0.293,292
Alternative,A Perfect Circle,Judith,63,3.32e-05,0.365,247267,0.894,0.171,B,0.267,-4.682,Minor,0.0572,82.305,3/4,0.31,227
Alternative,Frank Ocean,Provider,64,0.74,0.654,243238,0.325,2.14e-05,D,0.152,-11.925,Major,0.282,139.886,4/4,0.39,222
Alternative,Alina Baraz,Fantasy,62,0.353,0.68,218947,0.747,0.0,E,0.138,-6.056,Minor,0.091,113.933,4/4,0.331,241
Alternative,Creed,My Sacrifice,66,0.000101,0.32,294600,0.88,4.31e-06,D,0.076,-6.035,Major,0.0504,146.349,4/4,0.257,217
Alternative,Ween,Ocean Man,64,0.551,0.72,126947,0.912,0.00122,E,0.0982,-6.13,Major,0.0363,122.782,4/4,0.973,234
